,x,y
0,0.144,0.144
1,0.144,0.144
2,0.144,0.144
3,0.144,0.144
4,0.194311,0.194311
5,0.194311,0.194311
6,0.144,0.144
7,0.193647,0.193647
8,0.193616,0.193616
9,0.144,0.144
10,0.144,0.144
11,0.193658,0.193658
12,0.193658,0.193658
13,0.144,0.144
14,0.148,0.148
15,0.144,0.144
16,0.194311,0.194311
17,0.194311,0.194311
18,0.148,0.148
19,0.9375,0.9375
20,0.9375,0.9375
21,0.9375,0.9375
22,0.9375,0.9375
23,0.9375,0.9375
24,0.9375,0.9375
25,0.9375,0.9375
26,0.9375,0.9375
27,0.9375,0.9375
28,0.4688,0.4688
29,0.4688,0.4688
30,0.4688,0.4688
31,0.4688,0.4688
32,0.4688,0.4688
33,0.4688,0.4688
34,0.4688,0.4688
35,0.4688,0.4688
36,0.4688,0.4688
37,0.4688,0.4688
38,0.4688,0.4688
39,0.4688,0.4688
40,0.4688,0.4688
41,0.4688,0.4688
42,0.4688,0.4688
43,0.4688,0.4688
44,0.4688,0.4688
45,0.4688,0.4688
46,0.4688,0.4688
47,0.4688,0.4688
48,0.4688,0.4688
49,0.4688,0.4688
50,0.5078,0.5078
51,0.5078,0.5078
52,0.5078,0.5078
53,0.5078,0.5078
54,0.5078,0.5078
55,0.5078,0.5078
56,0.5078,0.5078
57,0.5078,0.5078
58,0.5078,0.5078
59,0.5078,0.5078
60,0.5078,0.5078
61,0.5078,0.5078
62,0.5078,0.5078
63,0.5078,0.5078
64,0.5078,0.5078
65,0.5078,0.5078
66,0.5078,0.5078
67,0.5078,0.5078
68,0.5078,0.5078
69,0.5078,0.5078
70,0.5078,0.5078
71,0.5078,0.5078
72,0.5078,0.5078
73,0.5078,0.5078
74,0.5078,0.5078
75,0.5078,0.5078
76,0.5078,0.5078
77,0.5078,0.5078
78,0.5078,0.5078
79,0.5078,0.5078
80,0.5078,0.5078
81,0.5078,0.5078
82,0.5078,0.5078
83,0.5078,0.5078
84,0.5078,0.5078
85,0.5078,0.5078
86,0.5078,0.5078
87,0.5078,0.5078
88,0.5078,0.5078
89,0.5078,0.5078
90,0.5078,0.5078
91,0.5078,0.5078
92,0.5078,0.5078
93,0.5078,0.5078
94,0.5078,0.5078
95,0.5078,0.5078
96,0.5078,0.5078
97,0.5078,0.5078
98,0.5078,0.5078
99,0.5078,0.5078
100,0.5078,0.5078
101,0.5078,0.5078
102,0.5078,0.5078
103,0.5078,0.5078
104,0.5078,0.5078
105,0.5078,0.5078
106,0.5078,0.5078
